Date,Open,High,Low,Close,Adj Close,Volume
2013-03-08,16.098700,16.098700,16.098700,16.098700,16.052361,12733
2013-03-11,16.079100,16.079100,16.079100,16.079100,16.032816,6126
2013-03-12,15.980900,15.980900,15.313400,15.804300,15.758809,92795
2013-03-13,15.804300,15.804300,15.804300,15.804300,15.758809,0
2013-03-14,15.804300,15.804300,15.804300,15.804300,15.758809,0
2013-03-15,15.804300,15.804300,15.804300,15.804300,15.758809,0
2013-03-18,15.853700,15.902400,15.716300,15.902400,15.856625,146723
2013-03-19,16.098700,16.098700,16.098700,16.098700,16.052361,0
2013-03-20,15.804300,15.823900,15.804300,15.823900,15.778351,53146
2013-03-21,16.000601,16.000601,16.000601,16.000601,15.954543,0
2013-03-22,15.804300,16.165501,15.804300,16.000601,15.954543,33108
2013-03-25,15.735900,15.735900,15.735900,15.735900,15.690604,15407
2013-03-26,16.000601,16.000601,16.000601,16.000601,15.954543,0
2013-03-27,15.804300,16.255800,15.804300,16.098700,16.052361,67383
2013-03-28,16.491400,16.491400,16.491400,16.491400,16.443930,31834
2013-04-02,16.020201,16.295099,15.784600,16.098700,16.052361,368716
2013-04-03,15.706100,17.256300,15.706100,16.884001,16.835398,103287
2013-04-04,16.982201,16.982201,16.982201,16.982201,16.933317,0
2013-04-05,16.884001,16.982201,16.687700,16.982201,16.933317,65286
2013-04-08,17.001801,17.198200,17.001801,17.080400,17.031237,50324
2013-04-09,16.982201,16.982201,16.982201,16.982201,16.933317,25467
2013-04-10,17.080400,17.080400,17.080400,17.080400,17.031237,0
2013-04-11,17.229601,17.229601,16.962601,17.080400,17.031237,1115487
2013-04-12,16.884001,16.884001,16.884001,16.884001,16.835398,1273
2013-04-15,17.080400,17.080400,16.884001,17.080400,17.031237,25467
2013-04-16,16.098700,16.098700,15.509800,16.000601,15.954543,629814
2013-04-17,15.706100,15.706100,15.706100,15.706100,15.660891,704
2013-04-18,15.980900,15.980900,15.980900,15.980900,15.934898,3183
2013-04-19,15.902400,15.902400,15.902400,15.902400,15.856625,0
2013-04-22,15.470500,15.470500,15.392000,15.470500,15.425967,52706
2013-04-23,15.313400,15.313400,15.234900,15.313400,15.269320,15917
2013-04-24,15.117100,15.117100,15.117100,15.117100,15.073586,0
2013-04-25,15.117100,15.117100,15.117100,15.117100,15.073586,19100
2013-04-26,14.920800,15.058200,14.920800,15.018900,14.975668,74493
2013-04-29,14.920800,15.117100,14.920800,15.117100,15.073586,25467
2013-04-30,15.018900,15.018900,15.018900,15.018900,14.975668,0
2013-05-01,15.068400,15.068400,15.018900,15.018900,14.975668,44568
2013-05-02,15.018900,15.018900,15.018900,15.018900,14.975668,0
2013-05-03,15.018900,15.018900,15.018900,15.018900,14.975668,0
2013-05-07,14.960000,14.960000,14.960000,14.960000,14.916938,4199
2013-05-08,15.117100,15.117100,15.117100,15.117100,15.073586,0
2013-05-09,14.920800,14.999300,14.920800,14.999300,14.956125,69781
2013-05-10,14.999300,14.999300,14.920800,14.999300,14.956125,79595
2013-05-13,14.920800,14.920800,14.920800,14.920800,14.877850,5093
2013-05-14,15.018900,15.030700,15.018900,15.018900,14.975668,142870
2013-05-15,14.999300,14.999300,14.978100,14.999300,14.956125,135061
2013-05-16,14.920800,14.920800,14.201400,14.331800,14.290545,187716
2013-05-17,14.430000,14.430000,14.420500,14.430000,14.388464,17423
2013-05-20,14.430000,14.430000,14.135500,14.331800,14.290545,94710
2013-05-21,14.135500,14.182600,14.135500,14.135500,14.094810,56029
2013-05-22,13.620300,13.620300,13.620300,13.620300,13.581094,9596
2013-05-23,14.037300,14.037300,14.037300,14.037300,13.996893,0
2013-05-24,14.037300,14.037300,14.037300,14.037300,13.996893,0
2013-05-28,13.546500,13.742800,13.350200,13.546500,13.507507,31834
2013-05-29,13.036000,13.703600,12.957500,13.153800,13.115938,37186
2013-05-30,12.957500,13.114600,12.957500,13.114600,13.076851,17970
2013-05-31,13.153800,13.153800,13.153800,13.153800,13.115938,0
2013-06-03,13.153800,13.153800,13.153800,13.153800,13.115938,0
2013-06-04,13.153800,13.153800,13.153800,13.153800,13.115938,0
2013-06-05,13.177400,13.350200,13.177400,13.252000,13.213853,99418
2013-06-06,13.350200,13.955600,13.350200,13.955600,13.915429,342924
2013-06-07,13.153800,13.153800,13.153800,13.153800,13.115938,0
2013-06-10,13.252000,13.252000,13.252000,13.252000,13.213853,1885
2013-06-11,13.350200,13.557500,13.350200,13.557500,13.518473,78093
2013-06-12,13.098900,13.098900,13.098900,13.098900,13.061193,2298
2013-06-13,13.644700,13.644700,13.644700,13.644700,13.605424,0
2013-06-14,13.742800,13.742800,13.742800,13.742800,13.703241,636693
2013-06-17,13.841000,13.841000,13.841000,13.841000,13.801159,0
2013-06-18,13.841000,13.841000,13.841000,13.841000,13.801159,0
2013-06-19,13.841000,13.841000,13.841000,13.841000,13.801159,7654
2013-06-20,13.841000,13.841000,13.841000,13.841000,13.801159,0
2013-06-21,13.841000,13.841000,13.841000,13.841000,13.801159,0
2013-06-24,13.232400,13.546500,13.232400,13.546500,13.507507,30566
2013-06-25,13.546500,13.546500,13.350200,13.546500,13.507507,5730
2013-06-26,13.350200,13.350200,13.350200,13.350200,13.311770,587301
2013-06-27,13.546500,13.546500,13.546500,13.546500,13.507507,0
2013-06-28,13.546500,13.546500,13.546500,13.546500,13.507507,0
2013-07-01,13.546500,13.546500,13.546500,13.546500,13.507507,0
2013-07-02,13.742800,13.742800,13.742800,13.742800,13.703241,0
2013-07-03,13.644700,13.644700,13.644700,13.644700,13.605424,0
2013-07-04,12.564900,12.564900,12.564900,12.564900,12.528731,12733
2013-07-05,13.530800,13.530800,13.530800,13.530800,13.491852,355
2013-07-08,13.350200,13.507200,13.350200,13.507200,13.468321,7628
2013-07-09,13.507200,13.507200,13.507200,13.507200,13.468321,33463
2013-07-10,13.742800,13.742800,13.742800,13.742800,13.703241,0
2013-07-11,13.742800,13.742800,13.742800,13.742800,13.703241,0
2013-07-12,13.350200,13.350200,13.350200,13.350200,13.311770,7505
2013-07-15,13.193100,13.193100,13.114600,13.193100,13.155124,5411
2013-07-16,13.051800,13.350200,13.051800,13.350200,13.311770,10807
2013-07-17,13.153800,13.153800,13.153800,13.153800,13.115938,0
2013-07-18,12.977100,12.996800,12.977100,12.996800,12.959389,6163
2013-07-19,12.957500,12.957500,12.957500,12.957500,12.920202,3706
2013-07-22,12.763500,12.780800,12.761200,12.780800,12.744011,1544
2013-07-23,12.780800,12.780800,12.763500,12.780800,12.744011,403
2013-07-24,12.859400,12.859400,12.859400,12.859400,12.822383,0
2013-07-25,12.859400,12.859400,12.859400,12.859400,12.822383,0
2013-07-26,12.859400,12.859400,12.859400,12.859400,12.822383,0
2013-07-29,12.172200,12.221700,11.779600,12.074000,12.039247,28461
2013-07-30,12.290000,12.290000,12.290000,12.290000,12.254624,25241
2013-07-31,11.779600,12.329300,11.779600,11.975900,11.941427,52564
2013-08-01,12.074000,12.074000,12.074000,12.074000,12.039247,0
2013-08-02,11.865900,11.865900,11.779600,11.865900,11.831743,28014
2013-08-05,11.583200,11.583200,11.190600,11.288700,11.256206,163164
2013-08-06,11.386900,11.386900,11.386900,11.386900,11.354124,30938
2013-08-07,11.220400,11.386900,11.220400,11.386900,11.354124,19384
2013-08-08,11.279300,11.279300,11.279300,11.279300,11.246833,1095
2013-08-09,11.701000,11.701000,11.701000,11.701000,11.667319,4170
2013-08-12,11.279300,11.279300,11.279300,11.279300,11.246833,16
2013-08-13,11.355500,11.355500,11.220400,11.355500,11.322815,48228
2013-08-14,11.485100,11.485100,11.485100,11.485100,11.452040,0
2013-08-15,11.485100,11.485100,11.485100,11.485100,11.452040,0
2013-08-16,11.685300,11.685300,11.685300,11.685300,11.651664,382
2013-08-19,11.406500,11.406500,11.406500,11.406500,11.373667,1464
2013-08-20,11.583200,11.583200,11.583200,11.583200,11.549859,34466
2013-08-21,12.074000,12.074000,12.074000,12.074000,12.039247,0
2013-08-22,11.975900,12.398400,11.975900,12.074000,12.039247,38672
2013-08-23,12.172200,12.172200,12.172200,12.172200,12.137162,0
